                   R	                   W	                   T	                   K	                   L	                   E	                   U
   0.062473680082836	   1.173751335847242	   0.011306767524860	   4.536839983815148	   0.841585013650326	   0.110041118013291	   0.053165367946805	
   0.062470248812519	   1.173769836855219	   0.011306767524860	   4.536984013720327	   0.841574884632581	   0.110051398742168	   0.053165449593981	
   0.062466846971384	   1.173788180060574	   0.011306767524860	   4.537129007665064	   0.841565248414145	   0.110061151890765	   0.053165566500118	
   0.062463476528029	   1.173806354827181	   0.011306767524860	   4.537274737472503	   0.841556083804348	   0.110070400785232	   0.053165716159051	
   0.062460138971497	   1.173824353101478	   0.011306767524860	   4.537421005643985	   0.841547370167256	   0.110079167381065	   0.053165896365410	
   0.062456836612258	   1.173842162400541	   0.011306767524860	   4.537567576909179	   0.841539088686351	   0.110087472338581	   0.053166104818062	
   0.062453572732512	   1.173859764990522	   0.011306767524860	   4.537714268970937	   0.841531240822436	   0.110095335182674	   0.053166292540800	
   0.062450343780873	   1.173877180017092	   0.011306767524860	   4.537860893490392	   0.841523753521752	   0.110102775847253	   0.053166591908642	
   0.062447156233026	   1.173894372510905	   0.011306767524860	   4.538007249471465	   0.841516659093936	   0.110109811997901	   0.053166878598466	
   0.062444010709377	   1.173911339100292	   0.011306767524860	   4.538153161490295	   0.841509931705013	   0.110116461089992	   0.053167179710246	
   0.062440908118898	   1.173928074854017	   0.011306767524860	   4.538298477832059	   0.841503553025142	   0.110122740133418	   0.053167498937586	
   0.062437849745687	   1.173944572815828	   0.011306767524860	   4.538443045500664	   0.841497508521647	   0.110128664990547	   0.053167835021939	
   0.062434836933982	   1.173960825704008	   0.011306767524860	   4.538586709849387	   0.841491784008226	   0.110134251190283	   0.053168186180064	
   0.062431871087936	   1.173976825913146	   0.011306767524860	   4.538729317543488	   0.841486366190084	   0.110139514011491	   0.053168550596554	
   0.062428952923473	   1.173992569549056	   0.011306767524860	   4.538870757222692	   0.841481242169999	   0.110144466907577	   0.053168927148128	
   0.062426083573823	   1.174008050466964	   0.011306767524860	   4.539010894765712	   0.841476399314198	   0.110149123905455	   0.053169314394652	
   0.062423264231809	   1.174023262199972	   0.011306767524860	   4.539149600908317	   0.841471826533959	   0.110153497718096	   0.053169710923033	
   0.062420495473666	   1.174038201606835	   0.011306767524860	   4.539286778549880	   0.841467512085931	   0.110157600852913	   0.053170115478373	
   0.062417778241349	   1.174052863573785	   0.011306767524860	   4.539422313531458	   0.841463444993305	   0.110161445440987	   0.053170526972724	
   0.062415112853678	   1.174067246348252	   0.011306767524860	   4.539556126100682	   0.841459613969145	   0.110165043786644	   0.053170944176767	
   0.062412500335306	   1.174081344370189	   0.011306767524860	   4.539688104834706	   0.841456009437284	   0.110168406721186	   0.053171365973711	
   0.062409940217921	   1.174095160134293	   0.011306767524860	   4.539818223509807	   0.841452621581772	   0.110171544900078	   0.053171791364553	
   0.062407433856188	   1.174108686300695	   0.011306767524860	   4.539946349753393	   0.841449440490237	   0.110174468488972	   0.053172219796600	
   0.062404981071472	   1.174121923801832	   0.011306767524860	   4.540072442081553	   0.841446456631560	   0.110177188311403	   0.053172649961700	
   0.062402581948399	   1.174134872150739	   0.011306767524860	   4.540196443382174	   0.841443660404585	   0.110179714611210	   0.053173081117706	
   0.062400237049319	   1.174147528283465	   0.011306767524860	   4.540318276815982	   0.841441043682639	   0.110182056283444	   0.053173512428298	
   0.062397945712372	   1.174159895741851	   0.011306767524860	   4.540437934178062	   0.841438597911940	   0.110184222666402	   0.053173943389113	
   0.062395711033375	   1.174171957792442	   0.011306767524860	   4.540555194179928	   0.841436315406812	   0.110186223080783	   0.053174372063448	
   0.062393528669905	   1.174183737838719	   0.011306767524860	   4.540670267872155	   0.841434188714204	   0.110188064936642	   0.053174799026314	
   0.062391399173108	   1.174195232880048	   0.011306767524860	   4.540783077597227	   0.841432209433097	   0.110189756747452	   0.053175223566868	
   0.062389323395618	   1.174206438288940	   0.011306767524860	   4.540893533100780	   0.841430370067443	   0.110191306038679	   0.053175645482732	
   0.062387299840066	   1.174217362121967	   0.011306767524860	   4.541001676186673	   0.841428662345628	   0.110192722186878	   0.053176063870810	
   0.062385329423480	   1.174227999404295	   0.011306767524860	   4.541107412257475	   0.841427078660444	   0.110194013206312	   0.053176478068008	
   0.062383410764550	   1.174238357567278	   0.011306767524860	   4.541210785694317	   0.841425612463206	   0.110195186097672	   0.053176887768182	
