   R	                   W	                   T	                   K	                   L	                   E	                   U	
   0.058282278953015	   1.196968740551216	   0.013827055459002	   4.994578746414007	   0.877431481805475	   0.072152072139071	   0.054841693040778	
   0.058291550725056	   1.196915966337751	   0.013827086196682	   4.994073527191864	   0.877450185300360	   0.072134927983435	   0.054839806178321	
   0.058300767854022	   1.196863509554370	   0.013827074636181	   4.993570944387461	   0.877468701776318	   0.072118065295375	   0.054837809025748	
   0.058309924293238	   1.196811404492974	   0.013827054322444	   4.993070900847198	   0.877486944361153	   0.072101537790053	   0.054835741697048	
   0.058319015561460	   1.196759676523101	   0.013827035253762	   4.992572911043925	   0.877504776067985	   0.072085469898721	   0.054833622548280	
   0.058328038410348	   1.196708343989230	   0.013827019197525	   4.992076652155931	   0.877522102766599	   0.072069957049906	   0.054831456711982	
   0.058336991150870	   1.196657416358501	   0.013827005958161	   4.991581914032618	   0.877538868182852	   0.072055059069598	   0.054829246603977	
   0.058345872913573	   1.196606898433334	   0.013826995009014	   4.991088582627563	   0.877555042422086	   0.072040804109230	   0.054826995168569	
   0.058354683529731	   1.196556791030064	   0.013826985921723	   4.990596602177817	   0.877570613949190	   0.072027200323849	   0.054824704768723	
   0.058363423887525	   1.196507088956032	   0.013826978382854	   4.990105916260533	   0.877585583352534	   0.072014242373769	   0.054822378848193	
   0.058372092734195	   1.196457799194445	   0.013826972265153	   4.989616646161912	   0.877599957668427	   0.072001916987756	   0.054820020539652	
   0.058380690819181	   1.196408917344191	   0.013826967368536	   4.989128829308567	   0.877613752387021	   0.071990202754204	   0.054817632936463	
   0.058389215380232	   1.196360458968557	   0.013826963674948	   4.988642726708601	   0.877626981656941	   0.071979073537938	   0.054815225683939	
   0.058397629927846	   1.196312631317488	   0.013826961293370	   4.988160804930134	   0.877639657072651	   0.071968468170168	   0.054812850327358	
   0.058406001444101	   1.196265053523611	   0.013826960484989	   4.987678598599636	   0.877651769109745	   0.071958466731113	   0.054810435830756	
   0.058414303929837	   1.196217873241460	   0.013826960298208	   4.987198142288936	   0.877663374791404	   0.071949002897291	   0.054807992060727	
   0.058422534485486	   1.196171106815766	   0.013826960850559	   4.986719768757466	   0.877674499342734	   0.071940046495920	   0.054805525254816	
   0.058430693889304	   1.196124749691091	   0.013826962247655	   4.986243522401492	   0.877685159850595	   0.071931577281139	   0.054803038779011	
   0.058438790636774	   1.196078753477206	   0.013826964136208	   4.985768948776208	   0.877695374943442	   0.071923578591252	   0.054800531573993	
   0.058446840500814	   1.196033028470265	   0.013826964801295	   4.985295100059852	   0.877705160589357	   0.071916047241872	   0.054797993445842	
   0.058453082419964	   1.195997576396222	   0.013827825568325	   4.984625205048157	   0.877659482352039	   0.071940459256040	   0.054795403292027	
   0.058459587597838	   1.195960632082616	   0.013828212819913	   4.983916172681032	   0.877609941836730	   0.071969482349075	   0.054792412168990	
   0.058466940767687	   1.195918875711880	   0.013828063177305	   4.983283469677658	   0.877583639644805	   0.071986848993389	   0.054789270260848	
   0.058474395512438	   1.195876546667974	   0.013827896297636	   4.982712194801400	   0.877569313360328	   0.071997512003934	   0.054786244609774	
   0.058481700064803	   1.195835074474445	   0.013827771530740	   4.982190215834142	   0.877561915165353	   0.072003942907031	   0.054783360356851	
   0.058488769723722	   1.195794939712870	   0.013827686362663	   4.981706231754019	   0.877558476989699	   0.072007797604794	   0.054780593912326	
   0.058495592118410	   1.195756212229405	   0.013827630421344	   4.981250966626706	   0.877557223911154	   0.072010175947164	   0.054777917043386	
   0.058502181313126	   1.195718811818806	   0.013827594517547	   4.980817607503070	   0.877557120183465	   0.072011776906600	   0.054775307618546	
   0.058508558067168	   1.195682620320159	   0.013827572005809	   4.980401427327391	   0.877557574538782	   0.072013029335561	   0.054772750566767	
   0.058514740874685	   1.195647532477530	   0.013827558652808	   4.979999257291801	   0.877558243709259	   0.072014191802159	   0.054770237599574	
   0.058520742912091	   1.195613473253273	   0.013827551433466	   4.979609160501090	   0.877558939744663	   0.072015405976929	   0.054767765770849	
   0.058526574048287	   1.195580386407821	   0.013827548558462	   4.979229862899060	   0.877559553086692	   0.072016750790518	   0.054765334951215	
   0.058532241737583	   1.195548229424994	   0.013827548824882	   4.978860562343209	   0.877560029310157	   0.072018259976252	   0.054762946802125	
   0.058537750412822	   1.195516976948615	   0.013827551559542	   4.978500786126313	   0.877560337030348	   0.072019946557847	   0.054760604429167	
   0.058543106096424	   1.195486594618406	   0.013827556302036	   4.978150066271256	   0.877560464032535	   0.072021810704444	   0.054758310014928	
   0.058548313083094	   1.195457057889327	   0.013827562747826	   4.977808092014183	   0.877560405782210	   0.072023847359707	   0.054756064477553	
   0.058553375493084	   1.195428343217616	   0.013827570570502	   4.977474593991092	   0.877560162987578	   0.072026048140575	   0.054753868005773	
   0.058558297733174	   1.195400425445533	   0.013827579558175	   4.977149314489177	   0.877559741690531	   0.072028402612118	   0.054751720229010	
   0.058563083115715	   1.195373285633122	   0.013827589559638	   4.976832068437202	   0.877559148050928	   0.072030900051147	   0.054749621065555	
   0.058567733331152	   1.195346914047014	   0.013827600407010	   4.976522786844424	   0.877558389914934	   0.072033529937789	   0.054747570147170	
   0.058572251151283	   1.195321294828544	   0.013827612012894	   4.976221322569442	   0.877557473833346	   0.072036283103296	   0.054745566988149	
   0.058576638625337	   1.195296416223964	   0.013827624217252	   4.975927595052931	   0.877556409721178	   0.072039148653067	   0.054743611354577	
   0.058580898616668	   1.195272261869993	   0.013827636961092	   4.975641452408957	   0.877555204309259	   0.072042118824491	   0.054741702325427	
   0.058585030976268	   1.195248832489648	   0.013827650126004	   4.975362947666812	   0.877553865617795	   0.072045184100300	   0.054739840226827	
   0.058589039793826	   1.195226104778940	   0.013827663666317	   4.975091845578887	   0.877552399819373	   0.072048338389966	   0.054738023556362	
   0.058592926170962	   1.195204072381765	   0.013827677487048	   4.974828123088958	   0.877550815942607	   0.072051572945221	   0.054736252049614	
   0.058596691993022	   1.195182724503872	   0.013827691541922	   4.974571692431381	   0.877549120649444	   0.072054880724695	   0.054734525470747	
   0.058600340593688	   1.195162042146710	   0.013827705782017	   4.974322371771374	   0.877547320735019	   0.072058255078027	   0.054732843084878	
   0.058603872145509	   1.195142024236273	   0.013827720170035	   4.974080182352496	   0.877545422256366	   0.072061689470861	   0.054731204709521	
   0.058607288980508	   1.195122657462268	   0.013827734669133	   4.973845002188801	   0.877543430955483	   0.072065177842443	   0.054729610164345	
   0.058610593502820	   1.195103928110834	   0.013827749241723	   4.973616708898698	   0.877541353322832	   0.072068714807396	   0.054728058572599	
   0.058613788235641	   1.195085821798970	   0.013827763847342	   4.973395172378713	   0.877539195845350	   0.072072293846097	   0.054726549718105	
   0.058616873944946	   1.195068334106991	   0.013827778474295	   4.973180369081755	   0.877536963485039	   0.072075910023345	   0.054725083131287	
