 TYPE	 PROD	ASSET	                  VE	               VEwUI
    1	    0	   38	   0.000188071168839	   0.000004370895053
    0	    0	   39	   0.000022031372465	   0.000000959313471
    1	    0	   39	   0.000154597512228	   0.000004149940207
    0	    0	   40	   0.000021554266396	   0.000000919198360
    1	    0	   40	   0.000149444304248	   0.000003976404324
    0	    0	   41	   0.000020944628716	   0.000000903124222
    1	    0	   41	   0.000144798703308	   0.000003906868441
    0	    0	   42	   0.000020652368619	   0.000000875979344
    1	    0	   42	   0.000137367643004	   0.000003789441107
    0	    0	   43	   0.000019699249219	   0.000000835629143
    1	    0	   43	   0.000127729697421	   0.000003614888235
    0	    0	   44	   0.000018629522373	   0.000000774484483
    1	    0	   44	   0.000115981183307	   0.000003350379615
    0	    0	   45	   0.000018315823606	   0.000000744375954
    1	    0	   45	   0.000115261641966	   0.000003220131684
    0	    0	   46	   0.000017977739508	   0.000000728183483
    1	    0	   46	   0.000108854619031	   0.000003150083894
    0	    0	   47	   0.000018352809391	   0.000000752209297
    1	    0	   47	   0.000105524475366	   0.000003254018319
    0	    0	   48	   0.000017733675193	   0.000000766454591
    1	    0	   48	   0.000088338658786	   0.000003315642721
    0	    0	   49	   0.000019633084227	   0.000000753770018
    1	    0	   49	   0.000115346371084	   0.000003260769916
    0	    0	   50	   0.000018011099884	   0.000000677146896
    1	    0	   50	   0.000101549887057	   0.000002929302274
    0	    0	   51	   0.000020393835591	   0.000000712264635
    1	    0	   51	   0.000124069006640	   0.000003081219788
    0	    0	   52	   0.000020410711350	   0.000000739980285
    1	    0	   52	   0.000117982700227	   0.000003201116249
    0	    0	   53	   0.000022677316028	   0.000000795750659
    1	    0	   53	   0.000140910209149	   0.000003442375985
    0	    0	   54	   0.000022962409457	   0.000000800469007
    1	    0	   54	   0.000141606566602	   0.000003462787316
    0	    0	   55	   0.000024443756700	   0.000000798762737
    1	    0	   55	   0.000158929576188	   0.000003455406081
    0	    0	   56	   0.000023977679050	   0.000000766333697
    1	    0	   56	   0.000157486956617	   0.000003315119737
    0	    0	   57	   0.000025121112242	   0.000000767747320
    1	    0	   57	   0.000169661286548	   0.000003321234997
    0	    0	   58	   0.000025588489722	   0.000000768093161
    1	    0	   58	   0.000172609655828	   0.000003322731088
    0	    0	   59	   0.000026328768196	   0.000000761119654
    1	    0	   59	   0.000181533136317	   0.000003292564061
    0	    0	   60	   0.000026482263180	   0.000000751220715
    1	    0	   60	   0.000185393502802	   0.000003249741762
    0	    0	   61	   0.000027097692104	   0.000000745094548
    1	    0	   61	   0.000191973899442	   0.000003223240282
