 TYPE	 PROD	ASSET	                  VE
    0	    1	   53	   0.000034952531406
    1	    1	   53	   0.000170047540557
    0	    1	   54	   0.000039543845192
    1	    1	   54	   0.000204672143756
    0	    1	   55	   0.000044824005685
    1	    1	   55	   0.000237561021689
    0	    1	   56	   0.000047445818332
    1	    1	   56	   0.000271625200352
    0	    1	   57	   0.000051047909107
    1	    1	   57	   0.000301959273419
    0	    1	   58	   0.000054661712132
    1	    1	   58	   0.000334294945953
    0	    1	   59	   0.000057169647686
    1	    1	   59	   0.000363880134654
    0	    1	   60	   0.000059191388769
    1	    1	   60	   0.000387210985928
    0	    1	   61	   0.000062004731031
    1	    1	   61	   0.000410392778194
    0	    1	   62	   0.000063573143125
    1	    1	   62	   0.000431081396332
    0	    1	   63	   0.000064271814823
    1	    1	   63	   0.000455476101498
    0	    1	   64	   0.000065381705254
    1	    1	   64	   0.000475787677947
    0	    1	   65	   0.000065736479532
    1	    1	   65	   0.000491092926242
    0	    1	   66	   0.000066320978246
    1	    1	   66	   0.000506840781776
    0	    1	   67	   0.000066724193169
    1	    1	   67	   0.000519273703336
    0	    1	   68	   0.000066555649163
    1	    1	   68	   0.000525865236392
    0	    1	   69	   0.000065916889820
    1	    1	   69	   0.000523933686450
    0	    1	   70	   0.000065910687735
    1	    1	   70	   0.000529125217249
    0	    1	   71	   0.000066257945191
    1	    1	   71	   0.000532346280090
    0	    1	   72	   0.000065798572621
    1	    1	   72	   0.000530917100373
    0	    1	   73	   0.000064867526526
    1	    1	   73	   0.000533072225179
    0	    1	   74	   0.000064589291081
    1	    1	   74	   0.000533494637921
    0	    1	   75	   0.000064504264509
    1	    1	   75	   0.000532356903017
    0	    1	   76	   0.000064329203802
    1	    1	   76	   0.000531439695197
    0	    1	   77	   0.000064454925621
    1	    1	   77	   0.000530857293692
    0	    1	   78	   0.000064213719334
    1	    1	   78	   0.000528413620458
    0	    1	   79	   0.000064575261987
    1	    1	   79	   0.000528448090973
    0	    1	   80	   0.000064437230789
    1	    1	   80	   0.000526582212947
    0	    1	   81	   0.000065365011595
    1	    1	   81	   0.000528658026779
    0	    1	   82	   0.000065718529703
    1	    1	   82	   0.000527928995486
    0	    1	   83	   0.000066259319349
    1	    1	   83	   0.000527260086177
    0	    1	   84	   0.000066453434554
    1	    1	   84	   0.000526104164144
    0	    1	   85	   0.000066595059410
