 TYPE	 PROD	ASSET	               endoK	                  VE
    1	    0	   38	   3.300078187645376	   0.000144279937239
    0	    0	   39	   3.320347562978823	   0.000016021559033
    1	    0	   39	   3.456235959112651	   0.000134614469769
    0	    0	   40	   3.476526741103074	   0.000015111523142
    1	    0	   40	   3.617761328806119	   0.000123360812360
    0	    0	   41	   3.638114172818868	   0.000013560632461
    1	    0	   41	   3.784840103309292	   0.000108329649777
    0	    0	   42	   3.805297638723388	   0.000012638495851
    1	    0	   42	   3.957664497493575	   0.000095735246491
    0	    0	   43	   3.978271431195797	   0.000012822116840
    1	    0	   43	   4.136433357746463	   0.000103323960926
    0	    0	   44	   4.157236580995754	   0.000012678684603
    1	    0	   44	   4.321352392803144	   0.000084777037245
    0	    0	   45	   4.342401091689024	   0.000013117192380
    1	    0	   45	   4.512634412460396	   0.000099995628708
    0	    0	   46	   4.533980182177093	   0.000012091863746
    1	    0	   46	   4.710499574459192	   0.000095820688734
    0	    0	   47	   4.732196537616805	   0.000013059909495
    1	    0	   47	   4.915175639830752	   0.000103229784883
    0	    0	   48	   4.937280569025257	   0.000013945508404
    1	    0	   48	   5.126898237009329	   0.000108220230154
    0	    0	   49	   5.149470681875089	   0.000015087967236
    1	    0	   49	   5.345911135024443	   0.000121870535495
    0	    0	   50	   5.369013553995435	   0.000015430929400
    1	    0	   50	   5.572466526094959	   0.000128528810176
    0	    0	   51	   5.596164423104418	   0.000015541375381
    1	    0	   51	   5.806825317957648	   0.000138348558570
    0	    0	   52	   5.791562463234022	   0.000016151829326
    1	    0	   52	   6.049257436273692	   0.000145492396946
    0	    0	   53	   5.791562463234022	   0.000016795376122
    1	    0	   53	   6.300042137467734	   0.000155332373889
    0	    0	   54	   5.791562463234022	   0.000016958654453
    1	    0	   54	   6.559468332365848	   0.000161483019485
    0	    0	   55	   5.791562463234022	   0.000017447168478
    1	    0	   55	   6.827834921010949	   0.000170271438886
    0	    0	   56	   5.791562463234022	   0.000018062214009
    1	    0	   56	   7.105451139046869	   0.000177168354158
    0	    0	   57	   5.791562463234022	   0.000018605169820
    1	    0	   57	   7.392636916075533	   0.000185105684330
    0	    0	   58	   5.791562463234022	   0.000018995402510
    1	    0	   58	   7.689723246405305	   0.000193925624437
    0	    0	   59	   5.791562463234022	   0.000019303529747
    1	    0	   59	   7.997052572622786	   0.000200936725392
    0	    0	   60	   5.791562463234022	   0.000019803489089
    1	    0	   60	   8.314979182435156	   0.000208424989670
    0	    0	   61	   5.791562463234022	   0.000020253075985
    1	    0	   61	   8.643869619245306	   0.000214419747225
