 TYPE	 PROD	               ASSET	              VEtoWW
    0	    0	   1.157886238466658	   0.000033012939064
    1	    0	   1.157886238466658	   0.000001589744470
    0	    0	   1.220240257318908	   0.000032785973041
    1	    0	   1.220240257318908	   0.000001602378665
    0	    0	   1.284396050332241	   0.000034094420438
    1	    0	   1.284396050332241	   0.000001783058662
    0	    0	   1.350405681354142	   0.000033101994287
    1	    0	   1.350405681354142	   0.000001928969722
    0	    0	   1.418322718662713	   0.000032896200684
    1	    0	   1.418322718662713	   0.000002016237901
    0	    0	   1.488202278438519	   0.000032720747338
    1	    0	   1.488202278438519	   0.000002040237688
    0	    0	   1.560101069492589	   0.000032518000244
    1	    0	   1.560101069492589	   0.000002057158372
    0	    0	   1.634077439286873	   0.000032294008617
    1	    0	   1.634077439286873	   0.000002067977285
    0	    0	   1.710191421284502	   0.000037037265945
    1	    0	   1.710191421284502	   0.000002616734846
    0	    0	   1.788504783668267	   0.000035925841827
    1	    0	   1.788504783668267	   0.000002549182076
    0	    0	   1.869081079466878	   0.000034722815819
    1	    0	   1.869081079466878	   0.000002473238551
    0	    0	   1.951985698129646	   0.000034680163247
    1	    0	   1.951985698129646	   0.000002378783896
    0	    0	   2.037285918591472	   0.000029214262085
    1	    0	   2.037285918591472	   0.000001763415202
    0	    0	   2.125050963871200	   0.000028900621956
    1	    0	   2.125050963871200	   0.000001697709141
    0	    0	   2.215352057247619	   0.000026790451961
    1	    0	   2.215352057247619	   0.000001622618114
    0	    0	   2.308262480058741	   0.000027998443362
    1	    0	   2.308262480058741	   0.000001504074784
    0	    0	   2.403857631171228	   0.000026260789559
    1	    0	   2.403857631171228	   0.000001357193576
    0	    0	   2.502215088168239	   0.000025478813203
    1	    0	   2.502215088168239	   0.000001195054530
    0	    0	   2.603414670305364	   0.000026592358534
    1	    0	   2.603414670305364	   0.000001231480023
    0	    0	   2.707538503285713	   0.000026501257506
    1	    0	   2.707538503285713	   0.000001125560041
    0	    0	   2.814671085906746	   0.000026598326345
    1	    0	   2.814671085906746	   0.000001025973653
    0	    0	   2.924899358632921	   0.000024056486171
    1	    0	   2.924899358632921	   0.000000671703151
    0	    0	   3.038312774149804	   0.000030389722633
    1	    0	   3.038312774149804	   0.000001187584138
    0	    0	   3.155003369956905	   0.000028736356823
    1	    0	   3.155003369956905	   0.000001019431459
    0	    0	   3.275065843058154	   0.000033625719837
    1	    0	   3.275065843058154	   0.000001378453219
    0	    0	   3.398597626810607	   0.000032222539564
    1	    0	   3.398597626810607	   0.000001227456957
    0	    0	   3.525698969993787	   0.000034596504780
    1	    0	   3.525698969993787	   0.000001552706778
    0	    0	   3.656473018163779	   0.000034662616840
    1	    0	   3.656473018163779	   0.000001543711630
    0	    0	   3.791025897358140	   0.000038472208666
    1	    0	   3.791025897358140	   0.000001844587068
    0	    0	   3.929466800219529	   0.000037669081821
    1	    0	   3.929466800219529	   0.000001851492970
    0	    0	   4.071908074607951	   0.000040245679719
    1	    0	   4.071908074607951	   0.000002058209096
    0	    0	   4.218465314773542	   0.000041101330291
    1	    0	   4.218465314773542	   0.000002097531356
    0	    0	   4.369257455163862	   0.000042825676488
    1	    0	   4.369257455163862	   0.000002254780594
    0	    0	   4.524406866941830	   0.000043425236128
    1	    0	   4.524406866941830	   0.000002336133671
    0	    0	   4.684039457292635	   0.000045612761266
    1	    0	   4.684039457292635	   0.000002459435420
    0	    0	   4.848284771600217	   0.000047899104235
    1	    0	   4.848284771600217	   0.000002552929731
    0	    0	   5.017276098576197	   0.000049128785506
    1	    0	   5.017276098576197	   0.000002667436514
    0	    0	   5.191150578426639	   0.000050240932203
    1	    0	   5.191150578426639	   0.000002771979627
    0	    0	   5.370049314144351	   0.000050052647164
    1	    0	   5.370049314144351	   0.000002859254599
    0	    0	   5.554117486017097	   0.000050832343422
    1	    0	   5.554117486017097	   0.000002949410193
    0	    0	   5.743504469444626	   0.000051793211521
    1	    0	   5.743504469444626	   0.000003026980788
    0	    0	   5.938363956160092	   0.000052470754703
    1	    0	   5.938363956160092	   0.000003089688851
    0	    0	   6.138854078954332	   0.000052937596544
    1	    0	   6.138854078954332	   0.000003130127744
    0	    0	   6.345137540004107	   0.000053926901100
    1	    0	   6.345137540004107	   0.000003184711168
    0	    0	   6.557381742908535	   0.000054653665904
    1	    0	   6.557381742908535	   0.000003213597170
