 PROD	               ASSET	            valueWW0	            valueUS0	            valueUL0	            valueWW1	            valueUS1	            valueUL1
    0	   2.603414670305364	 -20.461458089163752	 -29.657642257649542	 -29.925236581302794	 -20.442138553902236	 -21.439356499642141	 -21.575001498768241
    0	   2.707538503285713	 -20.353061950169060	 -29.400777701394873	 -29.658577365566501	 -20.332324925370688	 -21.308606591750067	 -21.439836175242206
    0	   2.814671085906746	 -20.244521007068169	 -29.145795576969984	 -29.394427923210156	 -20.222382619390235	 -21.178057114836825	 -21.305333888800167
    0	   2.924899358632921	 -20.135788836236920	 -28.892671894367449	 -29.132467192379490	 -20.112247365445189	 -21.047823097960716	 -21.171130738465092
    0	   3.038312774149804	 -20.026831356626076	 -28.641361173634593	 -28.872665090849171	 -20.001852639031995	 -20.917930274328974	 -21.037368101860928
    0	   3.155003369956905	 -19.917695845578539	 -28.391454859748933	 -28.614939066390605	 -19.891167275818670	 -20.788226826881115	 -20.904052995255530
    0	   3.275065843058154	 -19.808417757184387	 -28.142734004585190	 -28.358771612295207	 -19.780118681406634	 -20.658555789252009	 -20.771101759916164
    0	   3.398597626810607	 -19.698984386943554	 -27.895684497476331	 -28.104134800994252	 -19.668547850772065	 -20.528803995389730	 -20.638398369155155
    0	   3.525698969993787	 -19.589364790806730	 -27.650335755825026	 -27.851434134401558	 -19.556518179657392	 -20.398636701161838	 -20.505593451118184
    0	   3.656473018163779	 -19.479512329946189	 -27.406716155049846	 -27.600669385898922	 -19.444224099526547	 -20.268082073908058	 -20.372291126651749
    0	   3.791025897358140	 -19.369384525583893	 -27.164657085958837	 -27.351907051531786	 -19.331692585340047	 -20.137782763624724	 -20.238809255910937
    0	   3.929466800219529	 -19.258934720107096	 -26.922937125224689	 -27.104752081946426	 -19.218309766992725	 -20.007711793181116	 -20.105663690474209
    0	   4.071908074607951	 -19.148060871951841	 -26.680843431663675	 -26.857543146673287	 -19.103942657832889	 -19.876759786200573	 -19.972505984162623
    0	   4.218465314773542	 -19.036607605583423	 -26.440488714013110	 -26.610385135262199	 -18.989031692502117	 -19.745849632250877	 -19.838773109789475
    0	   4.369257455163862	 -18.924667434158124	 -26.203097803512325	 -26.366255281072313	 -18.873765739000159	 -19.614846212183437	 -19.705133204068414
    0	   4.524406866941830	 -18.812297070787476	 -25.966928747367525	 -26.124995320145036	 -18.758180620902667	 -19.483738574397744	 -19.571422656893649
    0	   4.684039457292635	 -18.699132173164720	 -25.730264865735883	 -25.884114612818404	 -18.641932239229547	 -19.352653726105494	 -19.437710118913174
