 TYPE	 PROD	               ASSET	             ValueVE	            ValueVEc	              SaveVE	             endoKVE	          SearchWWVE
    0	    0	   2.308262480058741	 -21.100031321168000	 -21.100031321168000	   1.679174494789594	   2.744003350467724	   0.298558812238121
    0	    0	   2.403857631171228	 -20.983420790284669	 -20.983420790284669	   1.766149932832970	   2.857171245696811	   0.295936431394166
    0	    0	   2.502215088168239	 -20.866871543624310	 -20.866871543624310	   1.856604315024506	   2.973592851268929	   0.293387161024668
    0	    0	   2.603414670305364	 -20.750376689771510	 -20.750376689771510	   1.949368781801699	   3.093362004254761	   0.290933921960507
    0	    0	   2.707538503285713	 -20.634060857922506	 -20.634060857922506	   2.037286008469647	   3.216575242478701	   0.288711828174906
    0	    0	   2.814671085906746	 -20.518032974697288	 -20.518032974697288	   2.125051459816723	   3.343331882670529	   0.286585942925226
    0	    0	   2.924899358632921	 -20.402227034364611	 -20.402227034364611	   2.222925354066066	   3.473734100847202	   0.284328565154950
    0	    0	   3.038312774149804	 -20.286490488254358	 -20.286490488254358	   2.327002983521623	   3.607887014991619	   0.282051432580653
    0	    0	   3.155003369956905	 -20.170770011122737	 -20.170770011122737	   2.434041587438615	   3.745898770109974	   0.279827516851985
    0	    0	   3.275065843058154	 -20.055087801908158	 -20.055087801908158	   2.543980065777834	   3.887880625657000	   0.277627060297548
    0	    0	   3.398597626810607	 -19.939472186666482	 -19.939472186666482	   2.657049807903430	   4.033947045609717	   0.275443144841025
    0	    0	   3.525698969993787	 -19.823934362676624	 -19.823934362676624	   2.773397110242373	   4.184215790976484	   0.273304024760529
    0	    0	   3.656473018163779	 -19.708441376826151	 -19.708441376826151	   2.893646652076328	   4.338808015039581	   0.271213315940529
    0	    0	   3.791025897358140	 -19.592918189373112	 -19.592918189373112	   3.018031599340441	   4.497848361317246	   0.269159957186317
    0	    0	   3.929466800219529	 -19.477317317602481	 -19.477317317602481	   3.146332809826240	   4.661465064340989	   0.267145552356102
    0	    0	   4.071908074607951	 -19.361596326876761	 -19.361596326876761	   3.275065607970794	   4.829790053330383	   0.265237886026754
    0	    0	   4.218465314773542	 -19.245755249527697	 -19.245755249527697	   3.398597631646349	   5.002959058849759	   0.263544811774035
    0	    0	   4.369257455163862	 -19.129677304788807	 -19.129677304788807	   3.535942972704759	   5.181111722533609	   0.261844823456091
    0	    0	   4.524406866941830	 -19.013401499566847	 -19.013401499566847	   3.680991366440360	   5.364391709969922	   0.260185388219945
    0	    0	   4.684039457292635	 -18.896797640482259	 -18.896797640482259	   3.833540099046159	   5.552946826833164	   0.258598401983049
    0	    0	   4.848284771600217	 -18.779544368303831	 -18.779544368303831	   3.991450352284705	   5.746929138361252	   0.257185555782551
    0	    0	   5.017276098576197	 -18.661709790505125	 -18.661709790505125	   4.151397103848428	   5.946495092273435	   0.255953548983284
    0	    0	   5.191150578426639	 -18.543528071409607	 -18.543528071409607	   4.314961399708489	   6.151805645228903	   0.254821116372995
    0	    0	   5.370049314144351	 -18.425080334705605	 -18.425080334705605	   4.483005381449606	   6.363026392928608	   0.253745353688429
    0	    0	   5.554117486017097	 -18.306206644979376	 -18.306206644979376	   4.658309506962515	   6.580327703965838	   0.252707205335867
