 TYPE	 PROD	ASSET	               endoK	                  VE
    1	    0	   38	   2.423916744168432	   0.000191814803190
    0	    0	   39	   2.423122486353316	   0.000022916561735
    1	    0	   39	   2.528717775348913	   0.000158163568228
    0	    0	   40	   2.527066392703306	   0.000022420956424
    1	    0	   40	   2.636506807228731	   0.000153083705955
    0	    0	   41	   2.633997953277714	   0.000021795166582
    1	    0	   41	   2.747369845149024	   0.000148394390399
    0	    0	   42	   2.744003350467724	   0.000021483913995
    1	    0	   42	   2.861395350108900	   0.000140857906685
    0	    0	   43	   2.857171245696811	   0.000020489320855
    1	    0	   43	   2.978674310418808	   0.000131046602428
    0	    0	   44	   2.973592851268929	   0.000019356530413
    1	    0	   44	   3.099300315313219	   0.000119052478076
    0	    0	   45	   3.093362004254761	   0.000019019571273
    1	    0	   45	   3.223369630590870	   0.000118266596429
    0	    0	   46	   3.216575242478701	   0.000018666945062
    1	    0	   46	   3.350981276351150	   0.000111746916757
    0	    0	   47	   3.343331882670529	   0.000019071610120
    1	    0	   47	   3.482237106895858	   0.000108619105393
    0	    0	   48	   3.473734100847202	   0.000018465689654
    1	    0	   48	   3.617241892866361	   0.000091479673840
    0	    0	   49	   3.607887014991619	   0.000020351489672
    1	    0	   49	   3.756103405687261	   0.000118413755627
    0	    0	   50	   3.745898770109974	   0.000018653161963
    1	    0	   50	   3.898932504388823	   0.000104283164665
    0	    0	   51	   3.887880625657000	   0.000021068861314
    1	    0	   51	   4.045843224881874	   0.000126962824734
    0	    0	   52	   4.033947045609717	   0.000021118650153
    1	    0	   52	   4.196952871760245	   0.000120980610756
    0	    0	   53	   4.184215790976484	   0.000023431879014
    1	    0	   53	   4.352382112707639	   0.000144116915812
    0	    0	   54	   4.338808015039581	   0.000023720808535
    1	    0	   54	   4.512255075587352	   0.000144825398904
    0	    0	   55	   4.497848361317246	   0.000025200862661
    1	    0	   55	   4.676699448295320	   0.000162108541827
    0	    0	   56	   4.661465064340989	   0.000024698538067
    1	    0	   56	   4.845846581458801	   0.000160496974152
    0	    0	   57	   4.829790053330383	   0.000025847517341
    1	    0	   57	   5.019831594065132	   0.000172702561358
    0	    0	   58	   5.002959058849759	   0.000026313344704
    1	    0	   58	   5.198793482107150	   0.000175631622534
    0	    0	   59	   5.181111722533609	   0.000027046484949
    1	    0	   59	   5.382875230334109	   0.000184533931461
    0	    0	   60	   5.364391709969922	   0.000027188972484
    1	    0	   60	   5.572223927199314	   0.000188340845366
    0	    0	   61	   5.552946826833164	   0.000027804511320
    1	    0	   61	   5.766990883098090	   0.000194901079934
