 PROD	               ASSET	            valueWW0	            valueUS0	            valueUL0	            valueWW1	            valueUS1	            valueUL1
    0	   1.284396050332241	 -22.179056499588182	 -34.014295076490932	 -34.500531176539916	 -22.178631261602067	 -23.614830002111443	 -23.848473693640393
    0	   1.350405681354142	 -22.071384193211092	 -33.724373381487922	 -34.188107465253431	 -22.070859884994697	 -23.474791497540483	 -23.699391692979354
    0	   1.418322718662713	 -21.963886863876699	 -33.438589812407550	 -33.882222398395406	 -21.962913245168405	 -23.334958347301562	 -23.552129845268908
    0	   1.488202278438519	 -21.856556811315322	 -33.156378626458753	 -33.581724909573673	 -21.854915506321472	 -23.194047186411776	 -23.406533815259053
    0	   1.560101069492589	 -21.749441412737067	 -32.877864582687607	 -33.285502655557679	 -21.746933417167813	 -23.053967620134223	 -23.259020962195400
    0	   1.634077439286873	 -21.642574743028405	 -32.602929655283461	 -32.993596406818732	 -21.639005586702421	 -22.915155928729174	 -23.112431841319470
    0	   1.710191421284502	 -21.535816646352277	 -32.328236094667055	 -32.706252792218400	 -21.531026076878966	 -22.777464843412325	 -22.967448066888632
    0	   1.788504783668267	 -21.428969621537288	 -32.050493238240385	 -32.422329404414498	 -21.422840626925204	 -22.640748136159914	 -22.823922199321206
    0	   1.869081079466878	 -21.321889267930793	 -31.774807577330037	 -32.133703055665563	 -21.314344385649552	 -22.504946442605263	 -22.681666330507259
    0	   1.951985698129646	 -21.214636399140275	 -31.502187272451540	 -31.846915921781203	 -21.205625163970165	 -22.370006886038105	 -22.540599597785022
    0	   2.037285918591472	 -21.107355652353590	 -31.232352243845330	 -31.563834558254776	 -21.096844149169410	 -22.235399382441923	 -22.400660954023088
    0	   2.125050963871200	 -21.000047002487317	 -30.965230548737168	 -31.284046908464084	 -20.988011399782657	 -22.100815908709361	 -22.261522503530568
    0	   2.215352057247619	 -20.892637409523779	 -30.700729425006195	 -31.007427774536076	 -20.879061101343989	 -21.966949466424673	 -22.122292916906407
    0	   2.308262480058741	 -20.785024820032380	 -30.438380434142680	 -30.733914752446992	 -20.769904167855461	 -21.833837604440934	 -21.983904245250869
    0	   2.403857631171228	 -20.677142972962095	 -30.176871521734803	 -30.463050812204447	 -20.660503803138123	 -21.701364041855225	 -21.846459885472107
    0	   2.502215088168239	 -20.569039815348830	 -29.915698886874598	 -30.193511818605902	 -20.550927154635698	 -21.569500898048016	 -21.709814968312539
    0	   2.603414670305364	 -20.460802130960182	 -29.656717855096485	 -29.924369782823938	 -20.441244997045327	 -21.438251838787004	 -21.573924576373024
