 PROD	               ASSET	            valueWW0	            valueUS0	            valueUL0	            valueWW1	            valueUS1	            valueUL1
    0	   2.308262480058741	 -20.785737643874675	 -30.439218018269344	 -30.734641777318554	 -20.770843050115264	 -21.835020528598815	 -21.985045888461070
    0	   2.403857631171228	 -20.677841457605560	 -30.177836456975374	 -30.463747450377891	 -20.661432740562582	 -21.702526604479321	 -21.847581036842815
    0	   2.502215088168239	 -20.569717064522202	 -29.916680329495186	 -30.194351546307228	 -20.551839488127534	 -21.570636563099953	 -21.710918037966564
    0	   2.603414670305364	 -20.461458096492489	 -29.657642266913129	 -29.925236590608424	 -20.442138561124249	 -21.439356506702531	 -21.575001505910539
    0	   2.707538503285713	 -20.353061957275315	 -29.400777710366455	 -29.658577374599886	 -20.332324932368603	 -21.308606598595254	 -21.439836182183864
    0	   2.814671085906746	 -20.244521013953275	 -29.145795585659364	 -29.394427931949043	 -20.222382626164062	 -21.178057121450752	 -21.305333895523141
    0	   2.924899358632921	 -20.135788842904024	 -28.892671902792721	 -29.132467200835428	 -20.112247371994886	 -21.047823104357917	 -21.171130744951657
    0	   3.038312774149804	 -20.026831363077278	 -28.641361181776091	 -28.872665099039267	 -20.001852645354536	 -20.917930280505008	 -21.037368108127563
    0	   3.155003369956905	 -19.917695851812240	 -28.391454867557822	 -28.614939074289392	 -19.891167281905751	 -20.788226832824197	 -20.904053001300809
    0	   3.275065843058154	 -19.808417763194761	 -28.142734012078272	 -28.358771619852877	 -19.780118687247299	 -20.658555794956545	 -20.771101765745904
    0	   3.398597626810607	 -19.698984392725020	 -27.895684504696963	 -28.104134808246538	 -19.668547856352319	 -20.528804000869290	 -20.638398374762787
    0	   3.525698969993787	 -19.589364796357032	 -27.650335762782927	 -27.851434141375712	 -19.556518184991884	 -20.398636706353621	 -20.505593456454243
    0	   3.656473018163779	 -19.479512335262577	 -27.406716161786083	 -27.600669392621956	 -19.444224104625654	 -20.268082078868861	 -20.372291131691942
    0	   3.791025897358140	 -19.369384530661030	 -27.164657092413321	 -27.351907058035241	 -19.331692590199197	 -20.137782768361028	 -20.238809260718551
    0	   3.929466800219529	 -19.258934724935987	 -26.922937131234590	 -27.104752088123739	 -19.218309771538440	 -20.007711797686934	 -20.105663695051810
    0	   4.071908074607951	 -19.148060876519402	 -26.680843437280846	 -26.857543152365597	 -19.103942662115315	 -19.876759790417367	 -19.972505988448361
    0	   4.218465314773542	 -19.036607609877322	 -26.440488719480324	 -26.610385140627585	 -18.989031696513457	 -19.745849636219052	 -19.838773113837753
    0	   4.369257455163862	 -18.924667438189463	 -26.203097808779638	 -26.366255286363163	 -18.873765742768054	 -19.614846215883848	 -19.705133207856079
    0	   4.524406866941830	 -18.812297074555815	 -25.966928752323994	 -26.124995325108678	 -18.758180624425009	 -19.483738577842495	 -19.571422660406373
    0	   4.684039457292635	 -18.699132176609972	 -25.730264870263458	 -25.884114617554076	 -18.641932242450398	 -19.352653729301689	 -19.437710122180160
    0	   4.848284771600217	 -18.585000760630898	 -25.492205374440029	 -25.642679031225168	 -18.524877338297568	 -19.221514355531969	 -19.304216607495295
